Filename	n_sentences	n_tokens	tokens_per_sent	char_per_tok	ttr_lemma_chunks_100	ttr_form_chunks_100	upos_dist_ADJ	upos_dist_ADP	upos_dist_ADV	upos_dist_AUX	upos_dist_CCONJ	upos_dist_DET	upos_dist_INTJ	upos_dist_NOUN	upos_dist_NUM	upos_dist_PRON	upos_dist_PROPN	upos_dist_PUNCT	upos_dist_SCONJ	upos_dist_SYM	upos_dist_VERB	upos_dist_X	lexical_density	verbs_tense_dist_Fut	verbs_tense_dist_Imp	verbs_tense_dist_Past	verbs_tense_dist_Pres	verbs_mood_dist_Cnd	verbs_mood_dist_Imp	verbs_mood_dist_Ind	verbs_mood_dist_Sub	verbs_form_dist_Fin	verbs_form_dist_Ger	verbs_form_dist_Inf	verbs_form_dist_Part	verbs_num_pers_dist_Plur+	verbs_num_pers_dist_Plur+1	verbs_num_pers_dist_Plur+2	verbs_num_pers_dist_Plur+3	verbs_num_pers_dist_Sing+1	verbs_num_pers_dist_Sing+2	verbs_num_pers_dist_Sing+3	aux_tense_dist_Fut	aux_tense_dist_Imp	aux_tense_dist_Past	aux_tense_dist_Pres	aux_mood_dist_Cnd	aux_mood_dist_Imp	aux_mood_dist_Ind	aux_mood_dist_Sub	aux_form_dist_Fin	aux_form_dist_Ger	aux_form_dist_Inf	aux_form_dist_Part	aux_num_pers_dist_Plur+1	aux_num_pers_dist_Plur+2	aux_num_pers_dist_Plur+3	aux_num_pers_dist_Sing+1	aux_num_pers_dist_Sing+2	aux_num_pers_dist_Sing+3	verbal_head_per_sent	verbal_root_perc	avg_verb_edges	verb_edges_dist_0	verb_edges_dist_1	verb_edges_dist_2	verb_edges_dist_3	verb_edges_dist_4	verb_edges_dist_5	verb_edges_dist_6	avg_max_depth	avg_token_per_clause	avg_max_links_len	avg_links_len	max_links_len	avg_prepositional_chain_len	n_prepositional_chains	prep_dist_1	prep_dist_2	prep_dist_3	prep_dist_4	obj_pre	obj_post	subj_pre	subj_post	dep_dist_acl	dep_dist_acl:relcl	dep_dist_advcl	dep_dist_advmod	dep_dist_amod	dep_dist_appos	dep_dist_aux	dep_dist_aux:pass	dep_dist_case	dep_dist_cc	dep_dist_ccomp	dep_dist_compound	dep_dist_conj	dep_dist_cop	dep_dist_csubj	dep_dist_det	dep_dist_det:poss	dep_dist_det:predet	dep_dist_discourse	dep_dist_dislocated	dep_dist_expl	dep_dist_expl:impers	dep_dist_expl:pass	dep_dist_fixed	dep_dist_flat	dep_dist_flat:foreign	dep_dist_flat:name	dep_dist_iobj	dep_dist_mark	dep_dist_nmod	dep_dist_nsubj	dep_dist_nsubj:pass	dep_dist_nummod	dep_dist_obj	dep_dist_obl	dep_dist_obl:agent	dep_dist_parataxis	dep_dist_punct	dep_dist_root	dep_dist_vocative	dep_dist_xcomp	principal_proposition_dist	subordinate_proposition_dist	subordinate_post	subordinate_pre	avg_subordinate_chain_len	subordinate_dist_1	subordinate_dist_2	subordinate_dist_3	subordinate_dist_4	subordinate_dist_5
FB_profilingUD_input/2186-train-0-.conllu	1	5	5.0	2.4	0	0	20.0	20.0	0	0	0	20.0	0	0	20.0	0	0	0	0	20.0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	2.0	0	4.0	2.5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.0	0	0	0	0	0	0	20.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.0	0	20.0	0	0	0	20.0	0	0	0	0	0	0	0	0	0	0	0	0
FB_profilingUD_input/738-train-0-.conllu	2	13	6.5	5.333333333333333	0	0	0	7.6923076923076925	23.076923076923077	0	7.6923076923076925	0	0	15.384615384615385	0	7.6923076923076925	0	7.6923076923076925	7.6923076923076925	0	23.076923076923077	0	0.6666666666666666	0	0	0	100.0	0	0	100.0	0	100.0	0	0	0	0	33.333333333333336	0	0	66.66666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	50.0	2.3333333333333335	0	33.333333333333336	33.333333333333336	0	33.333333333333336	0	0	2.5	4.333333333333333	1.5	1.6363636363636365	3	0	0	0	0	0	0	50.0	50.0	0	0	0	0	7.6923076923076925	23.076923076923077	0	0	0	0	7.6923076923076925	7.6923076923076925	0	0	7.6923076923076925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.6923076923076925	0	0	0	0	15.384615384615385	7.6923076923076925	0	0	0	15.384615384615385	0	0	50.0	50.0	100.0	0.0	1.0	100.0	0	0	0	0
FB_profilingUD_input/926-train-1-.conllu	2	22	11.0	4.142857142857143	0	0	13.636363636363637	13.636363636363637	9.090909090909092	4.545454545454546	0	9.090909090909092	0	13.636363636363637	0	9.090909090909092	9.090909090909092	4.545454545454546	4.545454545454546	0	9.090909090909092	0	0.5714285714285714	0	0	0	100.0	0	0	100.0	0	50.0	0	50.0	0	0	0	0	0	0	0	100.0	0	0	0	100.0	100.0	0	0	0	100.0	0	0	0	0	0	0	100.0	0	0	1.0	100.0	2.5	0	0	50.0	50.0	0	0	0	2.5	11.0	6.5	3.473684210526316	11	0	0	0	0	0	0	66.66666666666667	33.333333333333336	100.0	0.0	0	0	0	9.090909090909092	13.636363636363637	0	4.545454545454546	0	18.181818181818183	0	0	0	0	0	0	9.090909090909092	0	0	0	0	0	0	0	0	0	0	0	4.545454545454546	0	4.545454545454546	9.090909090909092	0	0	9.090909090909092	4.545454545454546	0	0	4.545454545454546	9.090909090909092	0	0	100.0	0.0	0	0	0	0	0	0	0	0
FB_profilingUD_input/647-test-0-.conllu	1	8	8.0	4.125	0	0	12.5	0	0	0	12.5	12.5	0	37.5	0	0	0	0	0	0	25.0	0	0.75	0	0	0	100.0	0	0	100.0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	100.0	1.5	0	50.0	50.0	0	0	0	0	4.0	4.0	4.0	1.7142857142857142	4	0	0	0	0	0	0	0.0	100.0	0	0	0	0	0	0	12.5	0	0	0	0	12.5	0	0	25.0	0	0	12.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0	0	0	0	0	12.5	0	0	100.0	0.0	0	0	0	0	0	0	0	0
FB_profilingUD_input/2210-train-0-.conllu	2	52	26.0	4.6	0	0	3.8461538461538463	11.538461538461538	7.6923076923076925	11.538461538461538	3.8461538461538463	13.461538461538462	1.9230769230769231	19.23076923076923	0	7.6923076923076925	3.8461538461538463	3.8461538461538463	1.9230769230769231	0	9.615384615384615	0	0.46	0	0	100.0	0	0	0	0	0	0	20.0	20.0	60.0	0	0	0	0	0	0	0	0	0	0	100.0	20.0	0	80.0	0	83.33333333333333	0	16.666666666666668	0	0	0	0	40.0	0	60.0	3.0	50.0	3.2	0	0	20.0	60.0	0	20.0	0	3.5	8.666666666666666	21.0	3.7291666666666665	42	1.0	1	100.0	0	0	0	0.0	100.0	75.0	25.0	3.8461538461538463	1.9230769230769231	1.9230769230769231	5.769230769230769	3.8461538461538463	0	7.6923076923076925	1.9230769230769231	9.615384615384615	3.8461538461538463	0	0	3.8461538461538463	1.9230769230769231	0	7.6923076923076925	3.8461538461538463	1.9230769230769231	0	0	1.9230769230769231	0	0	1.9230769230769231	0	0	1.9230769230769231	0	1.9230769230769231	3.8461538461538463	3.8461538461538463	3.8461538461538463	0	3.8461538461538463	9.615384615384615	0	0	3.8461538461538463	3.8461538461538463	0	0	16.666666666666668	83.33333333333333	0.0	100.0	1.25	75.0	25.0	0	0	0
FB_profilingUD_input/673-test-1-.conllu	1	30	30.0	4.8	0	0	10.0	3.3333333333333335	3.3333333333333335	6.666666666666667	6.666666666666667	10.0	0	20.0	0	20.0	0	0	3.3333333333333335	0	16.666666666666668	0	0.5	0	0	0	100.0	0	0	100.0	0	60.0	20.0	20.0	0	0	0	0	66.66666666666667	0	0	33.333333333333336	0	0	0	100.0	0	0	100.0	0	100.0	0	0	0	50.0	0	0	0	0	50.0	6.0	100.0	2.6	0	40.0	20.0	20.0	0	0	20.0	10.0	5.0	8.0	2.3793103448275863	8	0	0	0	0	0	0	66.66666666666667	33.333333333333336	60.0	40.0	0	3.3333333333333335	0	3.3333333333333335	10.0	0	3.3333333333333335	0	3.3333333333333335	6.666666666666667	6.666666666666667	3.3333333333333335	3.3333333333333335	3.3333333333333335	0	10.0	0	0	0	0	3.3333333333333335	0	0	0	0	0	0	6.666666666666667	6.666666666666667	0	16.666666666666668	0	0	3.3333333333333335	3.3333333333333335	0	0	0	3.3333333333333335	0	0	20.0	80.0	100.0	0.0	1.0	100.0	0	0	0	0
FB_profilingUD_input/1624-train-1-.conllu	1	4	4.0	5.75	0	0	0	25.0	0	0	0	0	0	25.0	0	0	25.0	0	0	0	25.0	0	0.75	0	0	0	100.0	0	100.0	0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	100.0	2.0	0	0	100.0	0	0	0	0	2.0	4.0	2.0	1.3333333333333333	2	0	0	0	0	0	0	0	0	100.0	0.0	0	0	0	0	0	0	0	0	25.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0	0	0	0	25.0	0	0	0	25.0	0	0	100.0	0.0	0	0	0	0	0	0	0	0
FB_profilingUD_input/68-train-1-.conllu	1	11	11.0	4.818181818181818	0	0	0	9.090909090909092	0	9.090909090909092	0	0	0	0	0	0	81.81818181818181	0	0	0	0	0	0.8181818181818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	100.0	0	100.0	0	0	0	0	0	0	0	0	100.0	0.0	0.0	0	0	0	0	0	0	0	0	3.0	0	9.0	2.3	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.090909090909092	0	0	0	0	9.090909090909092	0	0	0	0	0	0	0	0	0	0	0	0	72.72727272727273	0	0	0	0	0	0	0	0	0	0	0	9.090909090909092	0	0	0	0	0	0	0	0	0	0	0	0
FB_profilingUD_input/2544-train-1-.conllu	1	24	24.0	4.571428571428571	0	0	0	8.333333333333334	12.5	4.166666666666667	4.166666666666667	0	0	12.5	0	20.833333333333332	8.333333333333334	12.5	4.166666666666667	0	12.5	0	0.5238095238095238	33.333333333333336	0	0	66.66666666666667	33.333333333333336	0	66.66666666666667	0	100.0	0	0	0	0	66.66666666666667	0	0	33.333333333333336	0	0	0	0	0	100.0	0	0	100.0	0	100.0	0	0	0	0	0	100.0	0	0	0	4.0	100.0	2.6666666666666665	0	0	33.333333333333336	66.66666666666667	0	0	0	4.0	6.0	10.0	2.4	10	1.0	1	100.0	0	0	0	50.0	50.0	100.0	0.0	0	4.166666666666667	4.166666666666667	12.5	0	0	0	0	8.333333333333334	4.166666666666667	0	0	4.166666666666667	4.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.166666666666667	8.333333333333334	12.5	0	0	8.333333333333334	8.333333333333334	0	0	12.5	4.166666666666667	0	0	33.333333333333336	66.66666666666667	100.0	0.0	1.0	100.0	0	0	0	0
FB_profilingUD_input/1989-train-0-.conllu	1	2	2.0	3.5	0	0	50.0	0	0	0	0	0	50.0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	1.0	0	1.0	1.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50.0	0	0	0	0	0	0	0	0	0	0	0	0
